CC,CCL,CCO,CI,CLC,CLLC,McCC,NL,NLE,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HOR_D,HOR_T,HON_D,HON_T,HLEN,HVOC,HDIFF,HVOL,HEFF,HBUGS,HTIME,CYCL,PARAMS,CYCL_DENS,Vuln,repo,holdout
0.0,0,0,0,0.0,0,8,2,2,0.0588235,1,0,0.0588235,1,16,17,17,1,16,17,17,13,35,23,45,80,36,12.717391304347826,413.594000115385,5259.836740597831,0.1378646667051283,292.21315225543503,6,1,35.294117647058826,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,4,4,3,2,5,5,5,7,9,7,12,21,14,6.0,79.95445336320968,479.7267201792581,0.0266514844544032,26.651484454403228,2,2,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,4,3,3,0.0,0,0,0.0,0,10,10,11,1,10,10,11,13,26,9,27,53,22,19.5,236.3498757877768,4608.822577861647,0.0787832919292589,256.0456987700915,4,1,44.44444444444444,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,4,1,1,0.0,0,0,0.0681818,3,11,15,9,3,41,47,36,8,22,15,25,47,23,6.666666666666667,212.6074119346796,1417.3827462311974,0.0708691373115598,78.7434859017332,4,3,44.44444444444444,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.142857,2,0,0.105263,2,12,17,10,2,17,22,15,10,37,22,37,74,32,8.40909090909091,370.0,3111.363636363637,0.1233333333333333,172.8535353535354,2,2,20.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,1,1,5,5,2,4,10,7,11,21,11,3.142857142857143,72.64806399138325,228.32248683006165,0.024216021330461,12.684582601670092,1,1,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,7,3,3,0.0,0,0,0.0,0,17,19,17,1,17,19,17,13,39,15,39,78,28,16.900000000000002,374.9736839204931,6337.055258256334,0.1249912279734977,352.05862545868524,5,1,29.411764705882355,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,10,10,7,0,13,13,9,7,15,9,14,29,16,5.444444444444445,116.0,631.5555555555555,0.0386666666666666,35.08641975308642,1,0,14.285714285714285,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,1,10,10,6,7,13,8,13,26,15,5.6875,101.57915548582147,577.7314468256097,0.0338597184952738,32.096191490311654,2,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,4,2,2,0.0588235,1,0,0.0588235,1,16,17,11,1,16,17,11,15,36,21,39,75,36,13.928571428571429,387.7443751081734,5400.725224720987,0.1292481250360578,300.04029026227704,3,1,21.428571428571427,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,13,16,9,2,24,27,20,13,21,12,21,42,25,11.375,195.0419599705384,2218.6022946648745,0.0650139866568461,123.25568303693748,3,2,33.33333333333333,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,1,2,9,9,4,2,2,3,4,6,5,1.3333333333333333,13.931568569324174,18.575424759098897,0.0046438561897747,1.0319680421721609,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,6,6,4,1,6,6,4,6,10,6,9,19,12,4.5,68.11428751370197,306.51429381165883,0.0227047625045673,17.028571878425492,2,1,66.66666666666666,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,6,6,4,1,6,6,4,6,10,6,9,19,12,4.5,68.11428751370197,306.51429381165883,0.0227047625045673,17.028571878425492,2,1,66.66666666666666,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,1,8,8,4,5,21,15,26,47,20,4.333333333333334,203.13062045970605,880.2326886587264,0.067710206819902,48.90181603659591,2,1,40.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,5,2,2,0.0,0,0,0.0,0,12,12,6,3,12,12,6,7,35,17,41,76,24,8.441176470588236,348.4571500548079,2941.3882960508786,0.1161523833516026,163.41046089171547,3,3,37.5,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,3,8,8,4,5,15,14,22,37,19,3.928571428571429,157.17331799741265,617.4666064184069,0.0523911059991375,34.30370035657816,2,3,40.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,3,8,8,4,6,16,14,21,37,20,4.5,159.91133951083242,719.6010277987459,0.0533037798369441,39.977834877708105,2,3,40.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,2,8,8,4,5,17,15,24,41,20,4.0,177.19905189038187,708.7962075615275,0.0590663506301272,39.377567086751526,2,2,40.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,1,1,2,2,1,1,2,2,2,2,4,6,4,2.0,12.0,24.0,0.004,1.3333333333333333,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,6,6,4,0,6,6,5,7,14,12,15,29,19,4.375,123.18989788986396,538.9558032681549,0.0410632992966213,29.94198907045305,1,0,25.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.19403,13,0,0.0728346,37,54,94,25,3,471,575,338,12,82,45,83,165,57,11.066666666666666,962.4268523371824,10650.85716586482,0.3208089507790608,591.71428699249,2,3,6.451612903225806,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,16,18,8,1,31,33,21,8,32,23,36,68,31,6.260869565217392,336.8853491063076,2109.195229187317,0.1122951163687691,117.17751273262871,2,1,22.22222222222222,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,2,1,4,4,2,2,5,5,7,12,7,1.4,33.68825906469125,47.16356269056775,0.0112294196882304,2.620197927253764,1,1,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,10,12,7,2,10,12,7,7,20,15,28,48,22,6.533333333333333,214.05271769459029,1398.4777556046563,0.0713509058981967,77.69320864470313,2,2,28.57142857142857,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,12,2,2,0.0,0,0,0.0405405,3,36,44,28,6,71,82,59,15,90,42,102,192,57,18.21428571428571,1119.9148827196304,20398.449649536124,0.3733049609065434,1133.2472027520068,9,6,31.03448275862069,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,16,3,2,0.125,6,0,0.113208,6,42,53,30,6,47,58,35,12,109,45,131,240,57,17.466666666666665,1399.893603399538,24451.4749393786,0.4666312011331793,1358.415274409922,10,6,29.411764705882355,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.333333,1,0,0.333333,1,2,3,0,0,2,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.09375,6,4,4,1,2,58,70,36,2,6,9,10,16,11,1.1111111111111112,55.35090589819677,61.50100655355196,0.0184503019660655,3.4167225863084423,1,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,18,6,4,0.0,0,0,0.0,0,52,59,27,1,52,59,27,16,168,63,184,352,79,23.365079365079364,2218.93082335834,51845.49479338852,0.7396436077861134,2880.3052662993623,13,1,37.142857142857146,1,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,2,2,0.0,0,0,0.0,0,10,10,6,2,10,10,6,11,25,10,25,50,21,13.75,219.61587113893805,3019.718228160398,0.073205290379646,167.7621237866888,3,2,50.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,5,1,1,0.0,0,0,0.0,0,11,11,7,1,11,11,7,8,36,20,41,77,28,8.2,370.16632899843546,3035.3638977871706,0.1233887763328118,168.6313276548428,3,1,42.85714285714285,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,5,5,3,1,5,5,3,4,13,14,18,31,18,2.571428571428572,129.26767504471167,332.4025929721157,0.0430892250149038,18.46681072067309,1,1,33.33333333333333,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,28,5,3,0.0533333,4,0,0.045977,4,71,83,58,2,83,95,69,20,260,66,284,544,86,43.03030303030303,3495.888026557941,150429.12114279627,1.1652960088526472,8357.173396822014,20,2,32.78688524590164,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.181818,2,0,0.181818,2,9,11,6,2,9,11,6,9,16,11,20,36,20,8.181818181818182,155.58941141594505,1273.0042752213683,0.0518631371386483,70.72245973452047,2,2,28.57142857142857,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,4,2,2,0.0,0,0,0.0,0,14,16,6,1,14,16,6,12,31,17,35,66,29,12.352941176470589,320.6267456784198,3960.6833289687142,0.1068755818928066,220.03796272048416,3,1,30.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,6,3,2,0.111111,2,0,0.111111,2,16,18,12,1,16,18,12,13,52,20,49,101,33,15.925,509.4838060552038,8113.52961142912,0.1698279353517346,450.7516450793956,3,1,21.428571428571427,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,6,6,2,2,11,11,5,6,8,7,10,18,13,4.285714285714286,66.60791492653966,285.4624925423128,0.0222026383088465,15.859027363461824,2,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,5,5,2,2,5,5,2,6,10,9,13,23,15,4.333333333333333,89.85848369899593,389.386762695649,0.0299528278996653,21.63259792753605,2,2,100.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,3,2,1,0.0,0,0,0.0,0,12,12,8,0,12,12,8,7,25,18,36,61,25,7.0,283.2752275762582,1982.9265930338076,0.0944250758587527,110.1625885018782,3,0,30.0,0,actionhero/actionhero,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,5,6,3,1,6,7,4,3,5,4,6,11,7,2.25,30.880904142633646,69.4820343209257,0.0102936347142112,3.860113017829206,1,1,50.0,0,ipfs/aegir,False
0.0,0,0,0,0.0,0,4,1,1,0.130435,3,0,0.12,3,20,28,14,1,22,30,16,10,34,18,35,69,28,9.72222222222222,331.7074896219747,3224.933926880309,0.1105691632073248,179.16299593779496,4,1,30.76923076923077,1,ipfs/aegir,False
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,11,14,5,0,11,14,5,7,26,17,27,53,24,5.5588235294117645,243.00301253822133,1350.8108638154067,0.0810010041794071,75.04504798974482,1,0,12.5,0,ipfs/aegir,False
0.0,0,0,0,0.0,0,3,0,0,0.0,0,0,0.0,0,29,31,14,0,29,31,14,8,40,42,63,103,50,6.0,581.3171875467966,3487.90312528078,0.1937723958489322,193.7723958489322,3,0,23.07692307692308,1,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,4,4,2,0,4,4,2,6,8,8,9,17,14,3.375,64.72503367497926,218.446988653055,0.021575011224993,12.135943814058612,1,0,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,0,0,0.0,0,0,0.0,0,6,6,4,2,6,6,4,6,10,4,13,23,10,9.75,76.40434618240934,744.9423752784911,0.0254681153941364,41.38568751547173,2,2,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,9,11,4,1,19,23,15,8,9,8,9,18,16,4.5,72.0,324.0,0.024,18.0,2,1,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,10,11,6,2,21,23,14,10,16,10,21,37,20,10.5,159.91133951083242,1679.0690648637403,0.0533037798369441,93.28161471465224,3,2,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,8,8,4,1,9,9,5,8,9,9,11,20,17,4.888888888888889,81.7492568250068,399.6630333667,0.0272497522750022,22.203501853705557,2,1,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,3,3,2,1,3,3,2,3,4,5,6,10,8,1.7999999999999998,30.0,53.99999999999999,0.01,3.0,2,1,100.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.025641,1,17,20,4,2,38,48,16,7,29,24,39,68,31,5.6875,336.8853491063076,1916.035423042124,0.1122951163687691,106.44641239122912,1,2,8.333333333333332,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,1,1,0.0666667,1,0,0.0555556,1,14,17,9,2,17,20,11,9,27,18,34,61,27,8.5,290.0481376319716,2465.4091698717584,0.0966827125439905,136.9671761039866,3,2,33.33333333333333,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,5,5,2,1,12,13,7,4,4,4,4,8,8,2.0,24.0,48.0,0.008,2.6666666666666665,1,1,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,3,6,5,7,13,8,2.1,39.0,81.89999999999999,0.013,4.55,1,1,100.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,11,13,6,2,11,13,6,8,25,20,33,58,28,6.6,278.826585479341,1840.255464163651,0.0929421951597803,102.23641467575835,1,2,11.11111111111111,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,0,0,0.0,0,0,0.0,0,18,18,1,1,18,18,1,3,38,19,36,74,22,2.8421052631578947,329.99793977916,937.8888814776126,0.10999931325972,52.10493785986736,2,1,200.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,0,0,0.0,0,0,0.0,0,15,17,4,2,20,22,5,6,31,21,31,62,27,4.428571428571429,294.8030251341351,1305.5562541654556,0.0982676750447117,72.53090300919197,3,2,75.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,9,11,6,2,21,25,15,6,22,19,35,57,25,5.526315789473684,264.6998028171593,1462.8146997790382,0.0882332676057197,81.26748332105768,1,2,14.285714285714285,1,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,6,7,3,3,19,23,11,4,8,11,14,22,15,2.5454545454545454,85.95159310338741,218.78587335407704,0.0286505310344624,12.154770741893168,1,3,33.33333333333333,1,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,1,1,0.04,1,0,0.0333333,1,24,32,18,1,29,38,22,9,62,35,66,128,44,8.485714285714286,698.807247185574,5929.8786404033,0.232935749061858,329.43770224462776,3,1,16.666666666666664,1,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,5,5,1,1,5,5,1,6,7,4,7,14,10,5.25,46.50699332842308,244.1617149742212,0.0155023311094743,13.564539720790064,2,1,200.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,5,5,1,1,5,5,1,6,7,4,7,14,10,5.25,46.50699332842308,244.1617149742212,0.0155023311094743,13.564539720790064,2,1,200.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,16,19,6,1,16,19,6,5,23,12,27,50,17,5.625,204.373142062517,1149.598924101658,0.0681243806875056,63.86660689453655,3,1,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,27,32,8,2,37,44,14,10,47,32,62,109,42,9.6875,587.7625990828849,5693.950178615447,0.1959208663609616,316.33056547863595,2,2,10.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,9,9,1,1,9,9,1,5,14,14,19,33,19,3.3928571428571432,140.1816079436383,475.6161698087729,0.0467272026478794,26.423120544931827,1,1,16.666666666666664,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,2,2,4,5,7,6,1.25,18.09473750504809,22.61842188131012,0.0060315791683493,1.2565789934061178,1,1,100.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,11,13,10,4,11,13,10,5,27,20,41,68,25,5.125,315.78222090468125,1618.3838821364914,0.1052607403015604,89.91021567424951,2,4,20.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,4,2,1,0.0,0,0,0.0,0,13,14,8,3,13,14,8,5,17,13,23,40,18,4.423076923076923,166.7970000576925,737.7559617936399,0.0555990000192308,40.986442321868886,4,3,40.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,1,0,0,0.0,0,0,0.0,0,3,3,1,1,3,3,1,2,2,4,5,7,6,1.25,18.09473750504809,22.61842188131012,0.0060315791683493,1.2565789934061178,1,1,100.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,6,2,2,0.0416667,1,0,0.0416667,1,23,30,12,3,23,30,12,11,41,22,49,90,33,12.249999999999998,453.9954707422608,5561.444516592695,0.1513318235807536,308.96913981070526,6,3,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,2,1,1,0.0,0,0,0.0,0,5,5,2,1,5,5,2,3,3,4,5,8,7,1.875,22.458839376460837,42.11032383086406,0.0074862797921536,2.339462435048004,2,1,100.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,3,1,1,0.0,0,0,0.0,0,9,10,5,1,9,10,5,4,7,7,11,18,11,3.142857142857143,62.26976913547136,195.7049887114814,0.0207565897118237,10.872499372860078,3,1,60.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,4,0,0,0.0,0,0,0.0,0,7,7,1,1,7,7,1,3,20,15,23,43,18,2.3000000000000003,179.30677506201943,412.40558264264473,0.0597689250206731,22.911421257924708,4,1,400.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,5,3,2,0.0,0,0,0.0,0,14,16,9,1,14,16,9,9,24,14,27,51,23,8.678571428571429,230.70165975890765,2002.160832907663,0.0769005532529692,111.23115738375904,5,1,50.0,0,airbrake/node-airbrake,True
0.0,0,0,0,0.0,0,4,1,1,0.0,0,0,0.0,0,15,18,8,1,15,18,8,10,24,16,28,52,26,8.75,244.4228653433368,2138.700071754197,0.0814742884477789,118.81667065301092,4,1,50.0,1,airbrake/node-airbrake,True
