AVGNOAL,AVGNODL,AVGNOEMT,AVGNOML,AVGTBC,CC,CCL,CCO,CChurn,CD,CI,CLC,CLLC,CLOC,CYCL,CYCL_DENS,DLOC,HBUGS,HDIFF,HEFF,HLEN,HON_D,HON_T,HOR_D,HOR_T,HTIME,HVOC,HVOL,LDC,LLDC,LLOC,LOC,MNOAL,MNODL,MNOEMT,MNOML,McCC,NII,NL,NLE,NOADD,NOCC,NOCHG,NOContr,NODEL,NOI,NOMOD,NOS,NUMPAR,PARAMS,SOADD,SODEL,SOMOD,TCD,TCLOC,TLLOC,TLOC,TNOS,Vuln,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,repo
19.0,0.0,84.0,0.0,0.0,1.0,1.0,5.0,19.0,0.13333334,1.0,1.0,1.0,2.0,5,62.5,0.0,0.0637189127016537,13.333333333333332,2548.756508066151,45,9,24,10,21,141.59758378145284,19,191.1567381049613,19.0,13.0,13.0,19.0,19.0,0.0,84.0,0.0,5.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0,19.0,0.0,0.0,0.13333334,2.0,13.0,19.0,8.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,50.0,0.0,0.0299747275025024,5.333333333333333,479.5956400400399,22,9,12,8,10,26.64420222444666,17,89.92418250750748,0.0,0.0,6.0,7.0,7.0,0.0,84.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1,7.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,40.0,0.0,0.0266514844544032,7.333333333333332,586.3326579968709,21,6,11,8,10,32.57403655538172,14,79.95445336320968,0.0,0.0,6.0,7.0,7.0,0.0,84.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
4.5,0.0,42.0,2.0,45.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4,66.66666666666666,0.0,0.0528190500182692,8.8,1394.422920482309,38,10,22,8,16,77.46794002679495,18,158.45715005480787,0.0,0.0,7.0,9.0,5.0,0.0,84.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,2.0,2,9.0,0.0,2.0,0.0,0.0,7.0,9.0,5.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,40.0,0.0,0.0266514844544032,7.333333333333332,586.3326579968709,21,6,11,8,10,32.57403655538172,14,79.95445336320968,0.0,0.0,6.0,7.0,7.0,0.0,84.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
51.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,51.0,0.13953489,0.0,0.0,0.0,6.0,15,62.5,0.0,0.3551398335626523,29.24137931034483,31154.335744254746,194,29,106,16,88,1730.7964302363748,45,1065.419500687957,0.0,0.0,37.0,51.0,51.0,0.0,84.0,0.0,17.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,2.0,2,51.0,0.0,0.0,0.13953489,6.0,37.0,51.0,21.0,1,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
28.0,0.0,84.0,0.0,0.0,1.0,1.0,9.0,28.0,0.0,1.0,1.0,1.0,0.0,9,64.28571428571429,0.0,0.1893001708298389,18.56,10540.233511805434,106,25,58,16,48,585.5685284336353,41,567.9005124895169,28.0,25.0,25.0,28.0,28.0,0.0,84.0,0.0,9.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0,28.0,0.0,0.0,0.0,0.0,25.0,28.0,9.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
3.0,0.0,31.0,3.0,310.0,0.0,0.0,0.0,6.0,0.625,0.0,0.0,0.0,10.0,5,125.0,10.0,0.0354338996787985,4.285714285714286,455.5787101559811,32,7,20,3,12,25.309928341998948,10,106.3016990363956,0.0,0.0,6.0,6.0,3.0,0.0,84.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,5.0,4.0,4,6.0,0.0,3.0,0.625,10.0,6.0,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
4.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4,80.0,0.0,0.0346546375069711,5.7142857142857135,594.0795001195057,29,7,16,5,13,33.00441667330588,12,103.96391252091354,0.0,0.0,8.0,8.0,5.0,0.0,84.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0,8.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
10.0,0.0,21.5,6.3333335,47.333332,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1,50.0,0.0,0.0074862797921536,1.5,33.688259064691245,8,4,4,3,4,1.8715699480384032,7,22.45883937646084,0.0,0.0,11.0,11.0,19.0,0.0,84.0,13.0,2.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0,3.0,6.0,0.0,0,30.0,0.0,19.0,0.115384616,3.0,23.0,30.0,17.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,50.0,0.0,0.0299747275025024,5.333333333333333,479.5956400400399,22,9,12,8,10,26.64420222444666,17,89.92418250750748,0.0,0.0,6.0,7.0,7.0,0.0,84.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1,7.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
28.0,0.0,84.0,0.0,0.0,1.0,1.0,9.0,28.0,0.0,1.0,1.0,1.0,0.0,9,64.28571428571429,0.0,0.1893001708298389,18.56,10540.233511805434,106,25,58,16,48,585.5685284336353,41,567.9005124895169,28.0,25.0,25.0,28.0,28.0,0.0,84.0,0.0,9.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0,28.0,0.0,0.0,0.0,0.0,25.0,28.0,9.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
15.0,1.0,21.4,1.3333334,209.75,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,13,37.142857142857146,0.0,0.370528581679171,18.23684210526316,20271.81371871044,195,38,99,14,96,1126.211873261691,52,1111.5857450375129,0.0,0.0,37.0,44.0,38.0,1.0,84.0,2.0,15.0,0.0,5.0,3.0,3.0,1.0,5.0,2.0,1.0,0.0,3.0,20.0,1.0,1,45.0,1.0,4.0,0.0,0.0,37.0,44.0,20.0,0,0.0,0.0,0.0,0.0,0.0,3rd-Eden/useragent
7.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,50.0,0.0,0.0329970759911659,4.722222222222221,467.45857654151695,26,9,17,5,9,25.96992091897317,14,98.9912279734977,0.0,0.0,7.0,7.0,7.0,0.0,1410.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2,7.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0,0.0,0.0,0.0,1.0,0.0,actionhero/actionhero
44.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0143950217445119,1.9285714285714288,83.2854829503903,13,7,9,3,4,4.626971275021685,10,43.18506523353572,0.0,0.0,4.0,4.0,44.0,0.0,1410.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4,44.0,0.0,0.0,0.0,0.0,44.0,44.0,27.0,0,0.0,0.0,0.0,6.0,0.0,actionhero/actionhero
42.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,5,14.705882352941178,0.0,0.4837715849618468,18.61206896551724,27011.970308602427,233,58,127,17,106,1500.6650171445792,75,1451.3147548855402,0.0,0.0,42.0,42.0,42.0,0.0,1410.0,0.0,7.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,2.0,2,42.0,0.0,0.0,0.0,0.0,42.0,42.0,26.0,0,0.0,0.0,0.0,6.0,0.0,actionhero/actionhero
125.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,0.1142002529922478,10.25,3511.657779511619,78,14,41,7,37,195.09209886175665,21,342.6007589767433,0.0,0.0,18.0,25.0,125.0,0.0,1410.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,2,125.0,0.0,0.0,0.00862069,1.0,115.0,125.0,83.0,1,0.0,0.0,0.0,19.0,0.0,actionhero/actionhero
24.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0143950217445119,1.9285714285714288,83.2854829503903,13,7,9,3,4,4.626971275021685,10,43.18506523353572,0.0,0.0,4.0,4.0,24.0,0.0,1410.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4,24.0,0.0,0.0,0.0,0.0,24.0,24.0,15.0,1,0.0,0.0,0.0,4.0,0.0,actionhero/actionhero
1.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0026666666666666,0.5,4.0,4,3,3,1,1,0.2222222222222222,4,8.0,0.0,0.0,1.0,1.0,1.0,0.0,1410.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,actionhero/actionhero
26.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,26.0,0.041666668,0.0,0.0,0.0,1.0,9,37.5,0.0,0.2978646667051283,21.5,19212.27100248077,160,32,86,16,74,1067.3483890267098,48,893.5940001153848,0.0,0.0,23.0,26.0,26.0,0.0,1410.0,0.0,11.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,3.0,3,26.0,0.0,0.0,0.041666668,1.0,23.0,26.0,22.0,1,0.0,0.0,0.0,7.0,0.0,actionhero/actionhero
22.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,6,40.0,0.0,0.155,10.17391304347826,4730.869565217391,93,23,52,9,41,262.8260869565217,32,465.0,0.0,0.0,17.0,17.0,22.0,0.0,1410.0,0.0,6.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,2,22.0,0.0,0.0,0.0,0.0,22.0,22.0,14.0,0,0.0,0.0,0.0,4.0,0.0,actionhero/actionhero
14.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,0.138918756416772,8.703703703703704,3627.3230842157136,80,27,47,10,33,201.5179491230952,37,416.756269250316,0.0,0.0,14.0,14.0,14.0,0.0,1410.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,3,14.0,0.0,0.0,0.0,0.0,14.0,14.0,9.0,0,0.0,0.0,0.0,2.0,0.0,actionhero/actionhero
11.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,11.0,0.125,0.0,0.0,0.0,1.0,2,40.0,0.0,0.0304588393764608,5.25,479.72672017925805,24,8,14,6,10,26.651484454403228,14,91.37651812938248,0.0,0.0,7.0,11.0,11.0,0.0,669.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2,11.0,0.0,0.0,0.125,1.0,7.0,11.0,5.0,0,0.0,0.0,0.0,0.0,0.0,aheckmann/gm
26.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,26.0,0.12,0.0,0.0,0.0,3.0,7,46.66666666666666,0.0,0.1538784905083489,13.565217391304348,6262.1855267745495,90,23,52,12,38,347.8991959319194,35,461.6354715250469,0.0,0.0,22.0,26.0,26.0,0.0,669.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,3.0,3,26.0,0.0,0.0,0.12,3.0,22.0,26.0,15.0,0,0.0,0.0,0.0,0.0,0.0,aheckmann/gm
77.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,77.0,0.125,0.0,0.0,0.0,6.0,12,42.85714285714285,0.0,0.3993363140625677,23.97619047619048,28723.69059007183,202,42,106,19,96,1595.760588337324,61,1198.008942187703,0.0,0.0,42.0,53.0,77.0,0.0,669.0,0.0,15.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,4.0,4,77.0,0.0,0.0,0.12676056,9.0,62.0,77.0,42.0,1,0.0,0.0,0.0,0.0,0.0,aheckmann/gm
7.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1,33.33333333333333,0.0,0.013,2.4000000000000004,93.6,13,5,8,3,5,5.2,8,39.0,0.0,0.0,5.0,7.0,7.0,0.0,669.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1,7.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,0,0.0,0.0,0.0,0.0,0.0,aheckmann/gm
13.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0060315791683493,2.0,36.18947501009619,7,3,4,3,3,2.0105263894497885,6,18.09473750504809,0.0,0.0,4.0,4.0,13.0,0.0,669.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,13.0,0.0,0.0,0.1,1.0,9.0,13.0,6.0,0,0.0,0.0,0.0,2.0,0.0,aheckmann/gm
9.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0060315791683493,2.0,36.18947501009619,7,3,4,3,3,2.0105263894497885,6,18.09473750504809,0.0,0.0,4.0,4.0,9.0,0.0,669.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,9.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,0,0.0,0.0,0.0,2.0,0.0,aheckmann/gm
84.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,2,50.0,0.0,0.0112294196882304,8.75,294.77226681604844,12,2,7,5,5,16.376237045336026,7,33.688259064691245,0.0,0.0,6.0,7.0,84.0,0.0,669.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1,84.0,0.0,0.0,0.116883114,9.0,68.0,84.0,45.0,1,0.0,0.0,0.0,0.0,0.0,aheckmann/gm
1.0,0.0,5793.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0131009896362688,3.75,147.38613340802422,14,4,10,3,4,8.188118522668013,7,39.302968908806456,0.0,0.0,1.0,1.0,1.0,0.0,5793.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,angular/angular.js
16.0,0.0,6100.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3,33.33333333333333,0.0,0.083589411415945,7.59375,1904.2712788194972,54,16,27,9,27,105.79284882330543,25,250.76823424783512,0.0,0.0,15.0,15.0,16.0,0.0,6100.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,9.0,0.0,0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,10.0,0,0.0,0.0,0.0,1.0,0.0,angular/angular.js
1.0,0.0,5793.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0131009896362688,3.75,147.38613340802422,14,4,10,3,4,8.188118522668013,7,39.302968908806456,0.0,0.0,1.0,1.0,1.0,0.0,5793.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
6.0,0.0,8235.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3,75.0,0.0,0.0410632992966213,5.454545454545454,671.9448975810761,29,11,15,8,14,37.33027208783757,19,123.18989788986394,0.0,0.0,6.0,6.0,6.0,0.0,8235.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1,6.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
3.0,0.0,7601.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09090909,0.0,0.0,0.0,1.0,2,25.0,0.0,0.0679668402150973,10.181818181818182,2076.0780283884287,48,11,28,8,20,115.3376682438016,19,203.9005206452921,0.0,0.0,10.0,11.0,3.0,0.0,7601.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,2.0,2,3.0,0.0,0.0,0.09090909,1.0,10.0,11.0,6.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
2.0,0.0,8235.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0060315791683493,2.0,36.18947501009619,7,3,4,3,3,2.0105263894497885,6,18.09473750504809,0.0,0.0,2.0,2.0,2.0,0.0,8235.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
10.0,0.0,8235.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3,42.85714285714285,0.0,0.0435996036400036,10.125,1324.33796056511,32,8,18,9,14,73.57433114250611,17,130.79881092001088,0.0,0.0,10.0,10.0,10.0,0.0,8235.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,2,10.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
32.0,16.0,6521.0,1.0,115.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2,25.0,0.0,0.090774560070761,9.846153846153848,2681.340851320942,62,13,32,8,30,148.96338062894122,21,272.3236802122832,0.0,0.0,11.0,16.0,32.0,16.0,7261.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,8.0,1.0,1,32.0,16.0,2.0,0.0,0.0,11.0,16.0,8.0,0,0.0,0.0,0.0,2.0,0.0,angular/angular.js
3.0,0.0,8235.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,200.0,0.0,0.012,2.4000000000000004,86.4,12,5,8,3,4,4.800000000000002,8,36.0,0.0,0.0,3.0,3.0,3.0,0.0,8235.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0,0.0,0.0,0.0,1.0,0.0,angular/angular.js
5.0,0.0,6100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2,100.0,0.0,0.025094737505048,3.928571428571429,295.75940630949543,21,7,11,5,10,16.431078128305302,12,75.2842125151443,0.0,0.0,5.0,5.0,5.0,0.0,6100.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,angular/angular.js
